ID,Text,Comment
Calloatti.SyncModsPro.Button.Cancel,"ยกเลิก",
Calloatti.SyncModsPro.Button.Confirm,"ตกลง",
Calloatti.SyncModsPro.Button.LoadGame,"โหลดเกม",
Calloatti.SyncModsPro.Button.OK,"ตกลง",
Calloatti.SyncModsPro.Button.Restart,"เริ่มใหม่",
Calloatti.SyncModsPro.Button.RestartLoad,"เริ่มใหม่ + โหลด",
Calloatti.SyncModsPro.Button.SaveProfile,"บันทึกโปรไฟล์",
Calloatti.SyncModsPro.Button.StrictFlipOff,"ปิดอย่างเคร่งครัด",
Calloatti.SyncModsPro.Button.StrictFlipOn,"เปิดอย่างเคร่งครัด",
Calloatti.SyncModsPro.Button.Sync,"ซิงค์",
Calloatti.SyncModsPro.Column.Active,"ใช้งาน",
Calloatti.SyncModsPro.Column.CurrentState,"ปัจจุบัน",
Calloatti.SyncModsPro.Column.CurrentVersion,"เวอร์ชัน Mod",
Calloatti.SyncModsPro.Column.Enabled,"เปิดใช้งาน",
Calloatti.SyncModsPro.Column.Id,"รหัส Mod",
Calloatti.SyncModsPro.Column.MinGameVer,"เวอร์ชันเกม",
Calloatti.SyncModsPro.Column.Name,"ชื่อ Mod",
Calloatti.SyncModsPro.Column.SavedState,"บันทึกแล้ว",
Calloatti.SyncModsPro.Column.SavedVersion,"เวอร์ชันที่บันทึก",
Calloatti.SyncModsPro.Column.Status,"สถานะ",
Calloatti.SyncModsPro.Column.TargetState,"เป้าหมาย",
Calloatti.SyncModsPro.Column.VersionFolder,"โฟลเดอร์เวอร์ชัน",
Calloatti.SyncModsPro.Confirmation,"คุณแน่ใจหรือไม่ว่าต้องการโหลดเกมที่บันทึกไว้?",
Calloatti.SyncModsPro.Info,"รายการ Mod ปัจจุบันตรงกับรายการ Mod ของเกมที่บันทึกไว้",
Calloatti.SyncModsPro.MissingMod.Description,"Mod นี้หายไปจากฮาร์ดไดรฟ์ของคุณ","Description shown for a saved mod that is not installed locally."
Calloatti.SyncModsPro.ObsoleteMods.Warning,"ตรวจพบ Mod ต่อไปนี้และถูกปิดใช้งานโดยอัตโนมัติเพื่อป้องกันข้อขัดแย้ง เกมต้องเริ่มใหม่เพื่อใช้การเปลี่ยนแปลงเหล่านี้:{0}",
Calloatti.SyncModsPro.Profile.SaveFailure,"ไม่สามารถบันทึกโปรไฟล์ Mod ได้ ตรวจสอบไฟล์บันทึกคอนโซลสำหรับรายละเอียด","Dialog message shown when exporting the current mod profile fails."
